Study,t01,t03,t05,t07,t09,t11,t13,t15,
Cal.Time1.,0.140,0.202,0.157,0.195,0.256,0.227,0.434,0.353,0.246
Cal.Time2.,0.328,0.251,0.342,0.257,0.273,0.334,0.440,0.292,0.315
For.Time1.,0.298,0.273,0.314,0.327,0.447,0.262,0.486,0.340,0.343
For.Time2.,0.372,0.378,0.318,0.489,0.363,0.259,0.463,0.401,0.380
Gaw.Time1.,0.221,0.145,0.128,0.287,0.276,0.191,0.221,0.237,0.213
Gaw.Time2.,0.229,0.232,0.309,0.236,0.350,0.258,0.368,0.477,0.307
Lai1.Time1.,0.113,0.094,0.079,0.162,0.186,0.165,0.288,0.329,0.177
Lai1.Time2.,0.114,0.158,0.132,0.192,0.167,0.149,0.414,0.226,0.194
Lai2.Time1.,0.235,0.225,0.249,0.241,0.258,0.220,0.305,0.244,0.247
Lai2.Time2.,0.225,0.231,0.252,0.268,0.261,0.264,0.366,0.342,0.276
PI.Time1.,0.450,0.459,0.439,0.491,0.544,0.506,0.552,0.551,0.499
PI.Time2.,0.515,0.506,0.520,0.541,0.527,0.485,0.517,0.540,0.519
,0.270,0.263,0.270,0.307,0.326,0.277,0.404,0.361,0.310