Param,ICC,CI.LB,CI.UB
D,0.515164406,0.435870456,0.586522318
       Calanchini,0.512715674,0.356751947,0.640873574
       PI,0.479139696,0.435091205,0.520900176
       Gawronski,0.595615238,0.464196499,0.701374464
       Forscher,0.674116829,0.429821021,0.826447814
       Lai 1,0.278599484,0.063963258,0.468600399
       Lai 2,0.560357964,0.494543045,0.619783359
OB,0.159995794,0.025756364,0.288567282
ACwg,0.317687805,0.169525265,0.451807186
ACbb,0.104244991,0.060919323,0.14717858
G,0.012063647,-0.123908803,0.147591413